"","Site","Tree","waterhole_dist","building_dist","fence_dist","road_dist"
"1","A","A1",561.541586072222,547.102989939437,912.704605296148,34.6325550102227
"2","A","A2",536.119560193569,566.334562319727,879.228270654413,67.3626961654192
"3","A","A3",551.105769421992,584.052533052762,912.090714593265,21.1381130052277
"4","A","A4",549.507085111223,582.584680632598,917.333073216142,12.2887010319422
"5","A","A5",548.888330150307,576.295628801584,929.31547486621,1.07405791032134
"6","A","A6",504.954524141545,609.356797513286,900.3316950276,41.988208278018
"7","A","A7",518.623002824713,595.587603195621,906.699669941989,36.6430453148406
"8","B","B1",443.22330958695,571.702850501162,1033.62012664914,28.9522872445062
"9","B","B2",434.123855328831,597.845829004766,1009.08111974499,46.1446332521109
"10","B","B3",465.808142151989,601.636264525172,979.313737671821,77.4869773114139
"11","B","B4",481.444070694069,582.973389913638,988.579345247388,83.1694634742182
"12","B","B5",489.233821961038,576.504054436729,990.132833172302,85.1531186769262
"13","B","B6",486.071619125169,574.114717809475,995.175359158653,79.6101642206607
"14","B","B7",490.18116708636,592.473087713792,971.802769921036,100.201879497358
"15","B","B8",512.641451601469,580.513967591245,969.480080193617,111.088286620944
"16","B","B9",502.645176474341,593.42400128233,962.300900638505,110.997529104961
"17","B","B10",521.805564132831,599.021468824521,944.217164657035,128.427352777605
"18","B","B11",518.925627268587,500.763860968797,1057.73696993336,27.5551164515028
"19","B","B12",479.175009565605,587.402770711514,985.281338374828,84.9491129673995
"20","B","B13",446.725910851658,585.360042210458,1013.39975241928,47.7649286558359
"21","C","C1",360.874526558077,161.470022970786,1379.85232505282,59.1033617372902
"22","C","C2",380.30931406317,175.273558818656,1350.32075190283,46.6292610744796
"23","C","C3",380.935977382161,175.321697587011,1347.4600911872,43.9156167582825
"24","C","C4",368.689748746968,161.987266646399,1349.5966867701,32.4745819027311
"25","C","C5",369.583282630653,159.850215797123,1330.15517619153,8.50699016127867
"26","C","C6",383.193683138111,192.376469974444,1394.39202209139,66.3092403565185
"27","C","C7",354.597922814288,144.193129004349,1331.37163969337,5.64147761092674
"28","C","C8",332.473988248333,122.131885124417,1320.50310542645,9.72945205844917
"29","C","C9",325.000349348833,115.119863860578,1319.04814872291,4.58226736752646
"30","C","C10",330.157547884803,119.753199613203,1310.38694659387,23.0963574465123
"31","C","C11",320.707217294003,113.628394872556,1283.73394999637,53.3316727059513
"32","C","C12",420.626857313436,749.090820228511,864.90412524125,45.206082565264
"33","C","C13",280.34660488029,70.1547007475741,1270.63882603906,36.5570522961332
"34","C","C14",264.103134322923,55.0460168546882,1271.40129513706,27.4042206348555
"35","C","C15",281.091539536245,72.6922015725621,1288.0997197162,12.2800449224782
"36","C","C16",282.927996955594,79.2769452914218,1299.09363539383,0
"37","C","C17",317.113879300308,107.048271772845,1311.12621529925,9.3267709573339
"38","D","D1",373.876322699567,1175.65787970085,640.395223560704,83.8345261908197
"39","D","D2",354.363058771843,1166.08612442083,671.307436302801,52.0769368342394
"40","D","D3",373.013187394019,1151.44417313604,678.267160664049,45.2178836169867
"41","E","E1",345.076302617498,452.602067648585,1846.23925344001,121.26725441188
